sector,ticker
Delta,BBY
Charlie,SNA
Charlie,RCL
Foxtrot,EXPE
Foxtrot,TRIP
Charlie,FOXA
Bravo,AZO
Hotel,PHM
Foxtrot,UAA
Charlie,F
Charlie,GRMN
Charlie,SWK
Charlie,OMC
Golf,SBUX
Foxtrot,BKNG
Charlie,CHTR
Charlie,CMCSA
Charlie,TPR
Charlie,DIS
Charlie,CCL
Hotel,DHI
Charlie,DISCA
Golf,DISH
Foxtrot,MAT
Delta,TSCO
Charlie,BWA
Charlie,GM
Charlie,APTV
Delta,CMG
Charlie,IPG
Delta,LOW
Charlie,LKQ
Charlie,GPC
Charlie,MHK
Charlie,WHR
Charlie,AAP
Charlie,MGM
Charlie,LEG
Hotel,LEN
Charlie,NWL
Charlie,M
Alpha,AMZN
Charlie,GT
Delta,JWN
Bravo,ORLY
Charlie,HBI
Charlie,MCD
Bravo,HD
Foxtrot,HAS
Charlie,NCLH
Charlie,KO
Delta,COST
Bravo,CL
Bravo,CLX
Delta,CVS
Charlie,PEP
Charlie,CHD
Charlie,PM
Charlie,HRL
Charlie,PG
Foxtrot,EL
Delta,SYY
Charlie,MDLZ
Charlie,K
Charlie,KMB
Charlie,MNST
Charlie,TAP
Charlie,MKC
Charlie,CPB
Charlie,MO
Delta,WBA
Delta,WMT
Delta,TSN
Bravo,HSY
Delta,ADM
Charlie,SLB
Charlie,WMB
Charlie,KMI
Echo,EOG
Golf,CVX
Charlie,NOV
Golf,OXY
Golf,APC
Charlie,HAL
Echo,HP
Echo,HES
Golf,NBL
Golf,PSX
Golf,CXO
Charlie,XEC
Golf,MRO
Golf,COP
Charlie,BEN
Charlie,PBCT
Charlie,ALL
Charlie,TRV
Charlie,CMA
Charlie,AJG
Charlie,FITB
Charlie,USB
Charlie,JPM
Charlie,CB
Charlie,MTB
Charlie,AON
Charlie,AXP
Charlie,AIG
Charlie,UNM
Charlie,NTRS
Charlie,CINF
Hotel,SCHW
Charlie,BK
Charlie,ICE
Charlie,HIG
Charlie,ZION
Charlie,C
Charlie,NAVI
Charlie,CME
Charlie,MMC
Charlie,NDAQ
Charlie,BAC
Golf,AMG
Charlie,DFS
Charlie,BBT
Charlie,ETFC
Charlie,CBOE
Charlie,SPGI
Charlie,STI
Charlie,BRK.B
Charlie,STT
Charlie,SIVB
Golf,TROW
Charlie,RE
Charlie,KEY
Charlie,RJF
Charlie,HBAN
Charlie,MET
Charlie,COF
Charlie,RF
Charlie,WFC
Charlie,LLY
Charlie,MTD
Charlie,ILMN
Charlie,IDXX
Charlie,VAR
Alpha,INCY
Alpha,VRTX
Charlie,AGN
Charlie,ABT
Charlie,ALXN
Charlie,JNJ
Juliett,NKTR
Charlie,LH
Charlie,ISRG
Charlie,A
Charlie,ALGN
Charlie,ZTS
Charlie,PKI
Charlie,PRGO
Charlie,SYK
Charlie,DGX
Charlie,BDX
Charlie,BAX
Delta,HUM
Charlie,RMD
Charlie,EW
Charlie,BSX
Charlie,REGN
Charlie,DHR
Charlie,DVA
Charlie,CI
Charlie,HOLX
Charlie,UHS
Charlie,HSIC
India,HCA
Kilo,CAH
Kilo,ABC
Charlie,COO
Charlie,AMGN
Delta,CNC
Charlie,GILD
Delta,UNH
Delta,ANTM
Charlie,CERN
Charlie,BIIB
Charlie,XYL
Charlie,TXT
India,TDG
Charlie,LUV
Charlie,NLSN
Charlie,COL
Charlie,NSC
Charlie,NOC
Charlie,VRSK
Charlie,UTX
India,URI
Delta,UPS
Charlie,PCAR
Charlie,ROP
Charlie,PH
Charlie,UNP
Delta,PWR
Charlie,RTN
Charlie,WM
Charlie,RSG
Bravo,RHI
Charlie,ROK
Charlie,UAL
Charlie,PNR
Charlie,MMM
Charlie,MAS
Charlie,FBHS
Charlie,CSX
Charlie,IR
Charlie,ITW
Charlie,INFO
Charlie,HII
Charlie,HON
Charlie,BA
Charlie,FLS
Delta,GWW
Delta,FLR
Charlie,CAT
Charlie,GD
Charlie,EFX
Charlie,CMI
Charlie,AME
Charlie,DAL
Charlie,LLL
Charlie,DE
Charlie,AYI
Charlie,KSU
Charlie,LMT
Delta,EXPD
Charlie,ALK
Charlie,EMR
Charlie,JCI
Delta,JEC
Delta,JBHT
Bravo,FAST
Charlie,DOV
Charlie,AOS
Charlie,ETN
Charlie,CTSH
Charlie,GLW
Bravo,MA
Charlie,STX
Charlie,SNPS
Bravo,SWKS
Charlie,EBAY
Charlie,TEL
Charlie,TSS
Charlie,CTXS
Delta,ACN
Charlie,ATVI
Charlie,XRX
Charlie,ADBE
Alpha,AMD
Charlie,AKAM
Charlie,WU
Charlie,WDC
Charlie,ADS
Charlie,V
India,VRSN
Charlie,APH
Charlie,ADI
Charlie,AAPL
Charlie,AMAT
Charlie,ADP
Charlie,AVGO
Alpha,CDNS
Charlie,CSCO
Bravo,TXN
Charlie,GPN
Charlie,IBM
Charlie,INTC
Bravo,FB
Delta,HPQ
Charlie,HRS
Bravo,NVDA
Charlie,FIS
Charlie,FISV
Charlie,IT
Charlie,FLIR
Bravo,INTU
Charlie,IPGP
Charlie,NFLX
Bravo,FFIV
Charlie,LRCX
Charlie,MU
Charlie,MSFT
Charlie,QCOM
Charlie,KLAC
Charlie,MSI
Charlie,JNPR
Charlie,WRK
Charlie,LYB
Charlie,IP
Charlie,CF
Charlie,MOS
Charlie,NUE
Charlie,VMC
Charlie,BLL
Charlie,AVY
Charlie,APD
Charlie,NEM
Charlie,FCX
Charlie,ECL
Charlie,DWDP
Charlie,SHW
Charlie,PPG
Charlie,SEE
Charlie,FMC
Charlie,EQR
Charlie,SLG
Charlie,SPG
Charlie,WY
Charlie,KIM
Charlie,VTR
Golf,PLD
Charlie,VNO
India,SBAC
Charlie,IRM
Charlie,DRE
Charlie,ARE
Charlie,HST
Charlie,O
Charlie,ESS
Charlie,DLR
Charlie,CCI
Charlie,REG
Charlie,BXP
Charlie,FRT
Charlie,AVB
Charlie,HCP
Charlie,UDR
Charlie,EQIX
Charlie,MAC
Charlie,T
Charlie,VZ
Charlie,AES
Charlie,EXC
Charlie,XEL
Charlie,ETR
Charlie,EIX
Charlie,ES
Charlie,WEC
Charlie,CMS
Charlie,ED
Charlie,PNW
Charlie,FE
Charlie,CNP
Charlie,PPL
Charlie,SO
Charlie,DTE
Charlie,NI
Charlie,NEE
Charlie,AWK
Charlie,SRE
Charlie,AEE
