sector,ticker
Echo,BBY
Hotel,SNA
Lima,RCL
Juliett,EXPE
Juliett,TRIP
Hotel,FOXA
Echo,AZO
Romeo,PHM
Juliett,UAA
Foxtrot,F
Hotel,GRMN
Lima,SWK
Papa,OMC
Charlie,SBUX
Juliett,BKNG
Foxtrot,CHTR
Foxtrot,CMCSA
Kilo,TPR
Hotel,DIS
Lima,CCL
Romeo,DHI
Oscar,DISCA
Alpha,DISH
Juliett,MAT
Echo,TSCO
Bravo,BWA
Hotel,GM
Bravo,APTV
Bravo,CMG
Papa,IPG
Echo,LOW
Bravo,LKQ
Bravo,GPC
Hotel,MHK
Bravo,WHR
Bravo,AAP
Foxtrot,MGM
Bravo,LEG
Romeo,LEN
Foxtrot,NWL
Echo,M
Oscar,AMZN
Hotel,GT
Echo,JWN
Echo,ORLY
Delta,HBI
Charlie,MCD
Echo,HD
Juliett,HAS
Lima,NCLH
Quebec,KO
Echo,COST
India,CL
India,CLX
Bravo,CVS
Hotel,PEP
Hotel,CHD
Charlie,PM
Bravo,HRL
Hotel,PG
Juliett,EL
Echo,SYY
Lima,MDLZ
Hotel,K
Charlie,KMB
Kilo,MNST
Lima,TAP
Lima,MKC
Charlie,CPB
Foxtrot,MO
Bravo,WBA
Echo,WMT
Bravo,TSN
India,HSY
Bravo,ADM
Lima,SLB
Foxtrot,WMB
Foxtrot,KMI
Oscar,EOG
Alpha,CVX
Lima,NOV
Alpha,OXY
Alpha,APC
Hotel,HAL
Oscar,HP
Alpha,HES
Alpha,NBL
Bravo,PSX
Alpha,CXO
Oscar,XEC
Alpha,MRO
Alpha,COP
Quebec,BEN
Papa,PBCT
Lima,ALL
Lima,TRV
Papa,CMA
Lima,AJG
Papa,FITB
Papa,USB
Papa,JPM
Lima,CB
Papa,MTB
Lima,AON
Papa,AXP
Lima,AIG
Lima,UNM
Quebec,NTRS
Lima,CINF
Romeo,SCHW
Quebec,BK
Lima,ICE
Lima,HIG
Papa,ZION
Papa,C
Papa,NAVI
Lima,CME
Hotel,MMC
Quebec,NDAQ
Papa,BAC
Alpha,AMG
Papa,DFS
Papa,BBT
Lima,ETFC
Lima,CBOE
Kilo,SPGI
Papa,STI
Lima,BRK.B
Quebec,STT
Papa,SIVB
Charlie,TROW
Lima,RE
Papa,KEY
Papa,RJF
Papa,HBAN
Lima,MET
Papa,COF
Papa,RF
Papa,WFC
Kilo,LLY
Charlie,MTD
Kilo,ILMN
Kilo,IDXX
Hotel,VAR
Golf,INCY
Golf,VRTX
Foxtrot,AGN
Lima,ABT
Lima,ALXN
Charlie,JNJ
November,NKTR
Lima,LH
Kilo,ISRG
Hotel,A
Kilo,ALGN
Charlie,ZTS
Lima,PKI
Hotel,PRGO
Hotel,SYK
Hotel,DGX
Quebec,BDX
Hotel,BAX
Bravo,HUM
Hotel,RMD
Kilo,EW
Hotel,BSX
Golf,REGN
Lima,DHR
Foxtrot,DVA
Lima,CI
Hotel,HOLX
Bravo,UHS
Bravo,HSIC
Delta,HCA
Mike,CAH
Mike,ABC
Hotel,COO
Kilo,AMGN
Bravo,CNC
Kilo,GILD
Bravo,UNH
Bravo,ANTM
Oscar,CERN
Kilo,BIIB
Hotel,XYL
Bravo,TXT
Delta,TDG
Hotel,LUV
Foxtrot,NLSN
Lima,COL
Foxtrot,NSC
Quebec,NOC
Foxtrot,VRSK
Lima,UTX
Foxtrot,URI
Bravo,UPS
Papa,PCAR
Lima,ROP
Lima,PH
Foxtrot,UNP
Bravo,PWR
Hotel,RTN
Hotel,WM
Foxtrot,RSG
Echo,RHI
Kilo,ROK
Hotel,UAL
Lima,PNR
Charlie,MMM
Delta,MAS
Hotel,FBHS
Foxtrot,CSX
Lima,IR
Charlie,ITW
Lima,INFO
Bravo,HII
Hotel,HON
Bravo,BA
Hotel,FLS
Echo,GWW
Bravo,FLR
Hotel,CAT
Hotel,GD
Hotel,EFX
Charlie,CMI
Hotel,AME
Hotel,DAL
Lima,LLL
Papa,DE
Hotel,AYI
Lima,KSU
Bravo,LMT
Bravo,EXPD
Hotel,ALK
Hotel,EMR
Lima,JCI
Bravo,JEC
Bravo,JBHT
Echo,FAST
Hotel,DOV
Hotel,AOS
Lima,ETN
Kilo,CTSH
Hotel,GLW
Kilo,MA
Oscar,STX
Kilo,SNPS
Kilo,SWKS
Hotel,EBAY
Hotel,TEL
Hotel,TSS
Kilo,CTXS
Bravo,ACN
Oscar,ATVI
Lima,XRX
Kilo,ADBE
Golf,AMD
Oscar,AKAM
Hotel,WU
Oscar,WDC
Papa,ADS
Hotel,V
Delta,VRSN
Hotel,APH
Lima,ADI
Hotel,AAPL
Kilo,AMAT
Lima,ADP
Oscar,AVGO
Golf,CDNS
Quebec,CSCO
Kilo,TXN
Lima,GPN
Hotel,IBM
Charlie,INTC
Kilo,FB
Bravo,HPQ
Hotel,HRS
Kilo,NVDA
Foxtrot,FIS
Hotel,FISV
Lima,IT
Hotel,FLIR
India,INTU
Kilo,IPGP
Lima,NFLX
Kilo,FFIV
Kilo,LRCX
Oscar,MU
Quebec,MSFT
Quebec,QCOM
Kilo,KLAC
Charlie,MSI
Kilo,JNPR
Lima,WRK
Charlie,LYB
Foxtrot,IP
Foxtrot,CF
Lima,MOS
Bravo,NUE
Lima,VMC
Lima,BLL
Bravo,AVY
Foxtrot,APD
Oscar,NEM
Hotel,FCX
Hotel,ECL
Lima,DWDP
Hotel,SHW
Hotel,PPG
Delta,SEE
Lima,FMC
Foxtrot,EQR
Foxtrot,SLG
Foxtrot,SPG
Foxtrot,WY
Foxtrot,KIM
Alpha,VTR
Alpha,PLD
Foxtrot,VNO
Foxtrot,SBAC
Foxtrot,IRM
Foxtrot,DRE
Foxtrot,ARE
Lima,HST
Foxtrot,O
Foxtrot,ESS
Foxtrot,DLR
Foxtrot,CCI
Foxtrot,REG
Foxtrot,BXP
Foxtrot,FRT
Foxtrot,AVB
Alpha,HCP
Foxtrot,UDR
Foxtrot,EQIX
Foxtrot,MAC
Foxtrot,T
Foxtrot,VZ
Foxtrot,AES
Foxtrot,EXC
Foxtrot,XEL
Foxtrot,ETR
Foxtrot,EIX
Foxtrot,ES
Foxtrot,WEC
Foxtrot,CMS
Foxtrot,ED
Foxtrot,PNW
Foxtrot,FE
Foxtrot,CNP
Foxtrot,PPL
Foxtrot,SO
Foxtrot,DTE
Foxtrot,NI
Foxtrot,NEE
Foxtrot,AWK
Foxtrot,SRE
Foxtrot,AEE
Foxtrot,DUK
Foxtrot,LNT
Foxtrot,AEP
